anio,mes,agente_nemo,agente_descripcion,tipo_agente,region,provincia,categoria_area,categoria_demanda,tarifa,categoria_tarifa,demanda_MWh,indice_tiempo
2017,02,AYSA3FOY,AYSA - Planta Tres de Febrero,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1447.643,2017-02
2017,02,AYSABECY,AYSA - Est Elevadora Bernal 2,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,936.773,2017-02
2017,02,AYSABOCY,AYSA - Planta Boca-Barracas,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,443.045,2017-02
2017,02,AYSACBCY,AYSA - Est Elevadora Caballito,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2678.687,2017-02
2017,02,AYSACTCY,AYSA - Est Elevadora Centro,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,690.06,2017-02
2017,02,AYSAFLCY,AYSA - Est Elevadora Floresta,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1146.163,2017-02
2017,02,AYSALACY,AYSA - Est Elevadora Lanus,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2911.44,2017-02
2017,02,AYSALMOY,AYSA - Est Elevadora Matanza,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,3259.013,2017-02
2017,02,AYSAMBCY,AYSA - Planta Manuel Belgrano,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,4367.322,2017-02
2017,02,AYSAMOOY,AYSA - Planta Morón,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1765.088,2017-02
2017,02,AYSANOOY,AYSA - Planta Norte,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,777.278,2017-02
2017,02,AYSAPACY,AYSA - Est Elevadora Paitovi,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1717.977,2017-02
2017,02,AYSAQICY,AYSA - Pta Elevadora Quilmes,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2035.28,2017-02
2017,02,AYSASAOY,AYSA - Est Elevadora Saavedra,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1225.212,2017-02
2017,02,AYSASMOY,AYSA - Planta San Martin,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,8350.775,2017-02
